match_id,possession,num_events,team,possession_team,ends_with_shot,duration,num_passes,num_carries,num_dribbles,num_duels,num_players,pressure_events,num_miscontrols,num_dispossessed,start_x,start_y,end_x,end_y,progression,num_turnovers,pass_ratio,progression_rate
3912592,62,9,Manchester United W,Aston Villa W,0,5.8195879999999995,4.0,1.0,0.0,1.0,4,2.0,0.0,0.0,29.2,0.1,71.2,78.4,42.0,0.0,0.4444444444444444,7.2170057399252325
3912592,63,18,Aston Villa W,Manchester United W,0,19.295124003,5.0,4.0,0.0,0.0,8,4.0,0.0,0.0,76.3,53.2,11.9,23.4,-64.39999999999999,0.0,0.2777777777777778,-3.3376307915920673
3912592,64,20,Manchester United W,Aston Villa W,0,16.419401999999998,5.0,5.0,0.0,0.0,9,5.0,1.0,0.0,9.8,28.3,108.9,45.0,99.10000000000001,1.0,0.25,6.035542585533872
3912592,65,2,Aston Villa W,Aston Villa W,0,0.79131,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,9.3,36.7,8.4,36.9,-0.9000000000000004,0.0,0.5,-1.137354513401828
3912592,66,8,Aston Villa W,Manchester United W,0,5.062624,3.0,1.0,0.0,0.0,5,0.0,0.0,0.0,45.5,50.9,29.3,47.2,-16.2,0.0,0.375,-3.1999216216728716
3912592,67,31,Manchester United W,Aston Villa W,0,25.794435999999997,9.0,7.0,0.0,0.0,10,7.0,0.0,0.0,36.3,43.7,54.8,2.4,18.5,0.0,0.2903225806451613,0.7172089360666773
3912592,68,21,Manchester United W,Aston Villa W,0,11.99351,6.0,4.0,0.0,0.0,10,3.0,0.0,0.0,63.9,80.0,49.5,51.8,-14.399999999999999,0.0,0.2857142857142857,-1.2006493511907688
3912592,69,63,Aston Villa W,Manchester United W,0,46.925916,10.0,14.0,4.0,2.0,16,25.0,0.0,1.0,59.9,56.3,85.1,74.7,25.199999999999996,1.0,0.15873015873015872,0.5370166881771683
3912592,70,52,Aston Villa W,Manchester United W,0,69.665427,16.0,16.0,1.0,1.0,9,5.0,0.0,0.0,22.0,0.1,19.8,2.2,-2.1999999999999993,0.0,0.3076923076923077,-0.03157950930236887
3912592,71,10,Manchester United W,Aston Villa W,0,10.657187,3.0,2.0,0.0,0.0,5,0.0,0.0,0.0,19.4,0.1,3.4,40.8,-15.999999999999998,0.0,0.3,-1.5013342639103544
3912592,72,25,Manchester United W,Manchester United W,0,26.575761999999997,8.0,6.0,1.0,0.0,9,4.0,0.0,0.0,7.0,44.1,37.6,2.4,30.6,0.0,0.32,1.1514251218836173
3912592,73,27,Aston Villa W,Aston Villa W,0,23.001447,6.0,6.0,0.0,1.0,12,6.0,0.0,0.0,82.5,77.7,87.7,52.1,5.200000000000003,0.0,0.2222222222222222,0.22607273359802116
3912592,74,64,Manchester United W,Manchester United W,0,96.858559,19.0,15.0,0.0,2.0,17,12.0,0.0,0.0,31.5,29.4,85.1,25.2,53.599999999999994,0.0,0.296875,0.5533842393835324
3912592,75,15,Manchester United W,Aston Villa W,0,3.847694,1.0,4.0,1.0,1.0,5,5.0,1.0,0.0,34.7,40.7,66.5,40.2,31.799999999999997,1.0,0.06666666666666667,8.264690487341248
3912592,76,13,Aston Villa W,Manchester United W,0,11.562657,4.0,1.0,0.0,0.0,7,3.0,0.0,0.0,66.2,39.9,6.5,35.8,-59.7,0.0,0.3076923076923077,-5.163173135724774
3912592,77,73,Manchester United W,Manchester United W,0,74.079325,19.0,15.0,0.0,0.0,15,20.0,0.0,0.0,83.3,80.0,116.8,60.9,33.5,0.0,0.2602739726027397,0.4522179434005372
3912592,78,5,Manchester United W,Aston Villa W,0,2.810674,1.0,0.0,0.0,1.0,4,2.0,0.0,0.0,6.0,36.0,57.6,78.8,51.6,0.0,0.2,18.358585876554876
3912592,79,25,Manchester United W,Aston Villa W,0,24.15429,7.0,7.0,0.0,0.0,10,6.0,1.0,0.0,62.7,0.1,6.3,16.6,-56.400000000000006,1.0,0.28,-2.334988939852921
3912592,80,6,Aston Villa W,Aston Villa W,0,2.708091,1.0,1.0,0.0,0.0,4,2.0,1.0,0.0,111.5,80.0,105.6,74.9,-5.900000000000006,1.0,0.16666666666666666,-2.178656477939628
3912592,81,7,Manchester United W,Aston Villa W,0,3.9875529999999997,2.0,1.0,0.0,0.0,5,3.0,0.0,0.0,105.6,80.0,23.3,8.4,-82.3,0.0,0.2857142857142857,-20.639224105610634
3912592,82,8,Aston Villa W,Aston Villa W,0,1.444013,1.0,1.0,0.0,1.0,4,4.0,0.0,1.0,84.9,80.0,88.8,70.3,3.8999999999999915,1.0,0.125,2.7008067101888913
3912592,83,26,Manchester United W,Aston Villa W,0,14.58362,7.0,3.0,1.0,1.0,13,9.0,0.0,0.0,91.8,80.0,41.5,54.1,-50.3,0.0,0.2692307692307692,-3.4490750581817133
3912592,84,11,Aston Villa W,Manchester United W,0,6.226032,2.0,3.0,1.0,0.0,4,3.0,0.0,0.0,34.1,58.8,71.3,45.5,37.199999999999996,0.0,0.18181818181818182,5.974913074651719
3912592,85,20,Aston Villa W,Aston Villa W,0,13.866467,5.0,2.0,0.0,0.0,6,6.0,0.0,0.0,62.5,49.5,105.4,79.4,42.900000000000006,0.0,0.25,3.0937945476666844
3912592,86,3,Manchester United W,Manchester United W,0,3.03015,2.0,0.0,0.0,0.0,2,0.0,0.0,0.0,21.0,0.1,42.0,3.1,21.0,0.0,0.6666666666666666,6.930349982674125
3912592,87,11,Manchester United W,Aston Villa W,0,2.643328,0.0,1.0,1.0,0.0,3,2.0,0.0,0.0,68.6,75.9,52.3,3.1,-16.299999999999997,0.0,0.0,-6.166468936129
3912592,88,14,Aston Villa W,Aston Villa W,0,19.830726,5.0,4.0,0.0,0.0,5,0.0,0.0,0.0,61.0,40.1,108.7,39.0,47.7,0.0,0.35714285714285715,2.405358230455103
3912592,89,20,Aston Villa W,Manchester United W,0,22.212251000000002,6.0,4.0,0.0,1.0,8,3.0,0.0,0.0,2.5,36.3,53.9,13.2,51.4,0.0,0.3,2.3140383205646287
3912592,90,6,Manchester United W,Manchester United W,0,9.29556,2.0,1.0,0.0,0.0,3,0.0,0.0,0.0,55.0,80.0,80.2,72.1,25.200000000000003,0.0,0.3333333333333333,2.7109716897099263
3912592,91,9,Aston Villa W,Aston Villa W,0,8.151276,3.0,2.0,0.0,0.0,4,2.0,0.0,0.0,2.5,10.2,50.5,27.2,48.0,0.0,0.3333333333333333,5.888648599311323
3912592,92,47,Aston Villa W,Manchester United W,0,51.900311,14.0,12.0,0.0,0.0,12,10.0,0.0,0.0,57.3,52.7,100.7,23.2,43.400000000000006,0.0,0.2978723404255319,0.8362184958776067
3912592,93,42,Aston Villa W,Manchester United W,0,40.662611,7.0,8.0,2.0,4.0,10,21.0,1.0,1.0,9.6,80.0,16.4,4.3,6.799999999999999,2.0,0.16666666666666666,0.16722979249906011
3912592,94,25,Aston Villa W,Manchester United W,0,15.822685,5.0,4.0,2.0,2.0,6,14.0,0.0,0.0,104.4,80.0,24.8,8.4,-79.60000000000001,0.0,0.2,-5.030751733981939
3912592,95,10,Manchester United W,Manchester United W,0,4.199947,3.0,1.0,0.0,0.0,4,2.0,1.0,0.0,95.5,80.0,99.9,69.8,4.400000000000006,1.0,0.3,1.047632267740523
3912592,96,36,Manchester United W,Aston Villa W,0,28.931795,7.0,8.0,3.0,0.0,12,14.0,0.0,0.0,18.6,8.4,21.0,8.4,2.3999999999999986,0.0,0.19444444444444445,0.08295371925592583
3912592,97,64,Aston Villa W,Aston Villa W,0,79.499412,14.0,11.0,2.0,2.0,19,18.0,0.0,0.0,92.0,80.0,64.1,64.6,-27.900000000000006,0.0,0.21875,-0.3509459919024307
3912592,98,28,Manchester United W,Manchester United W,1,28.142516999999998,8.0,5.0,1.0,0.0,9,10.0,0.0,0.0,54.8,22.3,116.2,26.1,61.400000000000006,0.0,0.2857142857142857,2.1817522576250026
3912592,99,10,Manchester United W,Manchester United W,0,5.411718,1.0,1.0,1.0,1.0,6,5.0,0.0,0.0,120.0,0.1,117.4,67.5,-2.5999999999999943,0.0,0.1,-0.4804389290055385
